Filename,Question,Human,Correct,Type,Model,Response
image_0000.jpg,Is the truck carrying anything ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0001.jpg,Do the truck have a trailer ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0002.jpg,Is the truck carrying anything ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0003.jpg,how many dogs are there in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0004.jpg,How many dogs do you see ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0005.jpg,how many animals are there in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0006.jpg,how many dogs are there in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0007.jpg,Do you see the legs of man wearing a cap ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0008.jpg,How many dogs do you see ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0009.jpg,Do you see finger,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0010.jpg,Can you see an animal in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0011.jpg,Can you see a dog in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0012.jpg,Do you see a man's hand ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0013.jpg,Can you see a bird in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0014.jpg,Can you see a bird in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes
image_0015.jpg,Can you see a cat in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0016.jpg,Can you see a bird in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0017.jpg,Can you see an animal in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes
image_0018.jpg,Can you see an animal in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0019.jpg,Can you see an animal in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0020.jpg,Can you see a cat in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0021.jpg,Do you see a black cat ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0022.jpg,Did you see a cow in picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0023.jpg,Did you see a bear in picture ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0024.jpg,Is the man's's leg visible ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0025.jpg,Can you see the legs of man in centre ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0026.jpg,Is the person wearing high heel shoes,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0027.jpg,Do you see any striped cat,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0028.jpg,Can you see the skirt of the person whose legs are visible ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0029.jpg,Do you see a dove ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0030.jpg,Is there a man running with a leg behind ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0031.jpg,Do the man have long hair ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0032.jpg,How many dogs can you see in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0033.jpg,Do you see the woman and dog?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0034.jpg,Is the lady wearing high knee stocking,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0035.jpg,Do you see one or two horse ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0036.jpg,Do you see cat with head and body,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0037.jpg,Are you able to see both cycle tyres ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0038.jpg,Is the man's's leg visible ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0039.jpg,Is the man's leg folded behind ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0040.jpg,Is the lady in the peach sweater looking back?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0041.jpg,Can you see the legs of the man in checked shirt ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0042.jpg,Can you see the girls left hand ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0043.jpg,How many cats do you seen in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0044.jpg,Can you see the right hand of the man wearing black tshirt ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0045.jpg,How many dog can you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0046.jpg,How many dog can you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0047.jpg,Can you see the animal's legs ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0048.jpg,How many people are there in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0049.jpg,Does the cat has two heads ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0050.jpg,How many cats do you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0051.jpg,Can you see dog's legs ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0052.jpg,Is the man's posterior uncovered ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0053.jpg,Is the man standing in water?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0054.jpg,Can you see the legs of the person ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0055.jpg,Can you see the person's face ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0056.jpg,Can you see a dog in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0057.jpg,Can you see the person's head ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0058.jpg,Can you see the baby's left hand ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0059.jpg,Does the man on the right and standing on dais have a long right hand?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,"No, the man on the right and standing on the dais does not appear to have a long right hand."
image_0060.jpg,How many cats can you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0061.jpg,Are both legs of the lady visible?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0062.jpg,Can you see the shoes of the guy sitting ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0063.jpg,How many cats do you seen in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,0
image_0064.jpg,How many people are there in the image?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0065.jpg,How many cats do you seen in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0066.jpg,How many dogs do you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0067.jpg,Do you see a cat in the picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0068.jpg,Do you see a person in the picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0069.jpg,How many dogs do you seen in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0070.jpg,Can you see the dog's eyes ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0071.jpg,How many animals do you see near the machine in the centre ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0072.jpg,Can you see the child's leg ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0073.jpg,How many dogs are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0074.jpg,Do you see a person and a cat ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0075.jpg,How many cats are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0076.jpg,How many dogs are there in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0077.jpg,How many giraffe can you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0078.jpg,How many cats are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0079.jpg,How many dogs are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0080.jpg,Do you see the woman and dog ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0081.jpg,How many birds can you see in the picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0082.jpg,Can you see the beard of the man standing in the centre correctly ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0083.jpg,Can you see the birds in the tree ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0084.jpg,Can you see the right middle finger of the guy wearing violet coat?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0085.jpg,Can you see the legs of person wearing the blue jacket?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0086.jpg,How many people are there in the picture?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0087.jpg,Can you see the face of the woman on the right side of the image ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0088.jpg,"Is the person on right, holding the lady ?",Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0089.jpg,Can you see a horse in the picture ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0090.jpg,Is the cat pointing to something?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0091.jpg,How many people are celebrating by raising their hands?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0092.jpg,How many cats are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0093.jpg,Do you see a cat in the picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0094.jpg,Do you see a cat in the picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0095.jpg,Can you see the dog's all legs ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0096.jpg,How many dogs are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,2
image_0097.jpg,Is the dog in the back holding the dog in front ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0098.jpg,Can you see a dog in this picture ?,No,Yes,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes
image_0099.jpg,Can you see a dog in this picture ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0100.jpg,Is the cat's face visible?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
image_0101.jpg,Can you see the leg of the man on the right wearing white t-shirt ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0102.jpg,Does the man on the right has his hands over the shoulder of the woman on the left,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,Yes.
image_0103.jpg,How many dogs are in this picture ?,1,2,Numeric,Llama-3.2-11B-Vision-Instruct,1
image_0104.jpg,Is the person in the centre holding the guy with the bag ?,Yes,No,Yes/No,Llama-3.2-11B-Vision-Instruct,No.
